iter	Passed	Remaining
0	1	1909
1	4	2261
2	7	2383
3	10	2558
4	12	2559
5	15	2596
6	18	2611
7	21	2612
8	23	2623
9	26	2619
10	29	2618
11	31	2622
12	34	2609
13	36	2598
14	39	2594
15	42	2623
16	45	2626
17	47	2610
18	50	2598
19	53	2597
20	55	2597
21	58	2603
22	61	2602
23	63	2597
24	66	2595
25	72	2702
26	77	2787
27	82	2847
28	85	2878
29	89	2908
30	92	2898
31	97	2935
32	100	2952
33	103	2944
34	106	2930
35	108	2915
36	111	2905
37	114	2891
38	116	2879
39	119	2866
40	122	2858
41	124	2849
42	127	2837
43	130	2825
44	133	2830
45	135	2818
46	138	2815
47	141	2804
48	144	2797
49	146	2789
50	149	2785
51	152	2779
52	155	2771
53	157	2761
54	160	2751
55	162	2744
56	165	2736
57	167	2728
58	171	2732
59	174	2726
60	176	2718
61	179	2710
62	181	2703
63	184	2702
64	187	2697
65	190	2690
66	192	2684
67	195	2677
68	198	2673
69	200	2665
70	203	2660
71	206	2657
72	208	2652
73	211	2646
74	214	2640
75	216	2630
76	219	2628
77	221	2622
78	224	2616
79	227	2612
80	229	2607
81	232	2597
82	234	2593
83	237	2584
84	240	2584
85	242	2579
86	245	2574
87	247	2567
88	250	2562
89	252	2556
90	255	2551
91	257	2544
92	260	2539
93	262	2532
94	265	2526
95	267	2523
96	270	2518
97	273	2512
98	275	2506
99	277	2500
100	280	2494
101	282	2488
102	284	2481
103	287	2475
104	289	2469
105	292	2465
106	294	2458
107	296	2452
108	299	2447
109	301	2441
110	304	2437
111	306	2432
112	309	2425
113	311	2420
114	313	2413
115	316	2412
116	319	2410
117	321	2406
118	324	2403
119	327	2400
120	329	2396
121	332	2392
122	335	2391
123	338	2387
124	340	2383
125	342	2379
126	345	2374
127	347	2370
128	350	2367
129	353	2363
130	355	2358
131	358	2354
132	360	2351
133	363	2347
134	365	2343
135	368	2341
136	371	2338
137	373	2335
138	376	2332
139	379	2329
140	381	2326
141	384	2321
142	386	2319
143	389	2315
144	392	2312
145	394	2308
146	397	2305
147	399	2301
148	402	2296
149	405	2297
150	407	2292
151	410	2288
152	412	2284
153	415	2280
154	417	2277
155	420	2272
156	422	2268
157	424	2264
158	427	2259
159	429	2256
160	432	2252
161	434	2250
162	437	2247
163	440	2244
164	442	2240
165	445	2236
166	447	2232
167	450	2228
168	452	2225
169	455	2222
170	457	2218
171	459	2214
172	462	2211
173	465	2207
174	467	2203
175	470	2202
176	472	2198
177	475	2195
178	477	2191
179	480	2188
180	483	2185
181	485	2182
182	487	2178
183	490	2174
184	492	2170
185	495	2167
186	497	2163
187	500	2160
188	502	2156
189	505	2153
190	507	2150
191	510	2146
192	512	2142
193	515	2139
194	517	2136
195	519	2132
196	522	2129
197	525	2126
198	527	2123
199	530	2122
200	533	2119
201	535	2116
202	538	2113
203	540	2109
204	542	2105
205	545	2102
206	547	2099
207	550	2095
208	552	2092
209	555	2089
210	557	2085
211	560	2082
212	562	2079
